Station Name,CARCROSS,,,,,,,,,,,,,,,,,,,,,,,,,
Province,YUKON TERRITORY,,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,60.17,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-134.7,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation,660,,,,,,,,,,,,,,,,,,,,,,,,,
Climate Identifier,2100200,,,,,,,,,,,,,,,,,,,,,,,,,
WMO Identifier,,,,,,,,,,,,,,,,,,,,,,,,,,
TC Identifier,,,,,,,,Mean Max Temp (°C),Mean Min Temp (°C),Mean Temp (°C),Extr Max Temp (°C),Extr Min Temp (°C),Heat Deg Days (°C),Cool Deg Days (°C),,,,,,,,,,,,
1999/9/5,1999,9,5,,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/9/6,1999,9,6,,12,,,M,,M,,M,,M,1,,0,,1,,0,,,,,
1999/9/7,1999,9,7,,12,,-2,,5,,13,,0,,3,,0,,3,,0,,,,,
1999/9/8,1999,9,8,,13,,0,,6.5,,11.5,,0,,17.2,,0,,17.2,,0,,,,,
1999/9/9,1999,9,9,,12,,2,,7,,11,,0,,2,,0,,2,,0,,,,,
1999/9/10,1999,9,10,,14,,2,,8,,10,,0,,0,C,0,,0,C,0,,,,,
1999/9/11,1999,9,11,,,M,,M,,M,,M,,M,2,A,0,,2,A,0,,,,,
1999/9/12,1999,9,12,,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/9/13,1999,9,13,,14,,4,,9,,9,,0,,0,,0,,0,,0,,,,,
1999/9/14,1999,9,14,,12,,4,,8,,10,,0,,,M,0,,,M,0,,,,,
1999/9/15,1999,9,15,,13,,4,,8.5,,9.5,,0,,,M,0,,,M,0,,,,,
1999/9/16,1999,9,16,,15,,3,,9,,9,,0,,0,,0,,0,,0,,,,,
1999/9/17,1999,9,17,,,M,3,,,M,,M,,M,,M,0,,,M,0,,,,,
1999/9/18,1999,9,18,,15,,,M,,M,,M,,M,,M,0,,,M,0,,,,,
1999/9/19,1999,9,19,,,M,,M,,M,,M,,M,1,,0,,1,,0,,,,,
1999/9/20,1999,9,20,,11,,4,,7.5,,10.5,,0,,0,,0,,0,,0,,,,,
1999/9/21,1999,9,21,,12,,5,,8.5,,9.5,,0,,2,,0,,2,,0,,,,,
1999/9/22,1999,9,22,,11,,5,,8,,10,,0,,2,,0,,2,,0,,,,,
1999/9/23,1999,9,23,,10,,5,,7.5,,10.5,,0,,1,,0,,1,,0,,,,,
1999/9/24,1999,9,24,,11,,5,,8,,10,,0,,0,,0,,0,,0,,,,,
1999/9/25,1999,9,25,,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/9/26,1999,9,26,,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/9/27,1999,9,27,,7,,-5,,1,,17,,0,,0,,0,,0,,0,,,,,
1999/9/28,1999,9,28,,7,,-5,,1,,17,,0,,0,C,0,,0,C,0,,,,,
1999/9/29,1999,9,29,,,M,,M,,M,,M,,M,1.4,A,0,,1.4,A,0,,,,,
1999/9/30,1999,9,30,,3,,-4,,-0.5,,18.5,,0,,0,,0,,0,,0,,,,,
1999/10/1,1999,10,1,,,M,-1,,,M,,M,,M,0,,0,,0,,0,,,,,
1999/10/2,1999,10,2,,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/10/3,1999,10,3,,12,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/10/4,1999,10,4,,9,,-3,,3,,15,,0,,0,,0,,0,,0,,,,,
1999/10/5,1999,10,5,,10,,0,,5,,13,,0,,0,,0,,0,,0,,,,,
1999/10/6,1999,10,6,,9,,4,,6.5,,11.5,,0,,4,,0,,4,,0,,,,,
1999/10/7,1999,10,7,,8,,-2,,3,,15,,0,,2,,0,,2,,0,,,,,
1999/10/8,1999,10,8,,,M,-1,,,M,,M,,M,0,,0,,0,,0,,,,,
1999/10/9,1999,10,9,,9,,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/10/10,1999,10,10,,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/10/11,1999,10,11,,,M,,M,,M,,M,,M,0,,0,,0,,0,,,,,
1999/10/12,1999,10,12,,6,,-4,,1,,17,,0,,0,,0,,0,,0,,,,,
1999/10/13,1999,10,13,,8,,3,,5.5,,12.5,,0,,0,,0,,0,,0,,,,,
1999/10/14,1999,10,14,,6,,1,,3.5,,14.5,,0,,0,,5,,5,,0,,,,,
1999/10/15,1999,10,15,,,M,-3,,,M,,M,,M,0,,0,,0,,,M,,,,
1999/10/16,1999,10,16,,,M,,M,,M,,M,,M,0,,0,,0,,,M,,,,
1999/10/17,1999,10,17,,9,,,M,,M,,M,,M,0,,0,,0,,,M,,,,
1999/10/18,1999,10,18,,14,,0,,7,,11,,0,,0,,0,,0,,0,,,,,
1999/10/19,1999,10,19,,11,,6,,8.5,,9.5,,0,,1.4,,0,,1.4,,0,,,,,
1999/10/20,1999,10,20,,7,,3,,5,,13,,0,,0,,,M,,M,0,,,,,
1999/10/21,1999,10,21,,5,,-3,,1,,17,,0,,3,,,M,,M,0,,,,,
1999/10/22,1999,10,22,,6,,-0.5,,2.8,,15.2,,0,,0,,4,,4,,0,,,,,
1999/10/23,1999,10,23,,,M,-1,,,M,,M,,M,0,,0,,0,,,M,,,,
1999/10/24,1999,10,24,,,M,-4,,,M,,M,,M,0,,1,,1,,,M,,,,
1999/10/25,1999,10,25,,,M,-1,,,M,,M,,M,0,,0,,0,,5,,,,,
1999/10/26,1999,10,26,,,M,-1,,,M,,M,,M,0,,0,,0,,,M,,,,
1999/10/27,1999,10,27,,,M,-5,,,M,,M,,M,,M,,M,,M,0,,,,,
1999/10/28,1999,10,28,,,M,-3,,,M,,M,,M,0,,0,,0,,0,,,,,
1999/10/29,1999,10,29,,-4,,-4,,-4,,22,,0,,0,,1,,1,,0,,,,,
1999/10/30,1999,10,30,,2,,-8,,-3,,21,,0,,0,,0,,0,,,M,,,,
1999/10/31,1999,10,31,,3,,-9,,-3,,21,,0,,0,,0,,0,,,M,,,,
1999/11/1,1999,11,1,,4,,-1,,1.5,,16.5,,0,,0,,15,,15,,,M,,,,
1999/11/2,1999,11,2,,-5,,-14,,-9.5,,27.5,,0,,0,,0,,0,,,M,,,,
1999/11/3,1999,11,3,,-3,,-14,,-8.5,,26.5,,0,,0,,0,,0,,,M,,,,
1999/11/4,1999,11,4,,0,,-16,,-8,,26,,0,,0,,0,,0,,,M,,,,
1999/11/5,1999,11,5,,1,,-9,,-4,,22,,0,,0,,0,,0,,,M,,,,
1999/11/6,1999,11,6,,-1,,-5,,-3,,21,,0,,0,,0,,0,,,M,,,,
1999/11/7,1999,11,7,,-1,,-8,,-4.5,,22.5,,0,,0,,0,T,0,T,,M,,,,
1999/11/8,1999,11,8,,0,,-5,,-2.5,,20.5,,0,,0,,3,,3,,,M,,,,
1999/11/9,1999,11,9,,-1,,-5,,-3,,21,,0,,0,,0,,0,,,M,,,,
1999/11/10,1999,11,10,,-3,,-5,,-4,E,22,E,0,E,0,,1,,1,,,M,,,,
1999/11/11,1999,11,11,,-3,,,Y,,,,,,,0,,0,,0,,,M,,,,
1999/11/12,1999,11,12,,3,,-12,,-4.5,,22.5,,0,,0,,0,,0,,,M,,,,
1999/11/13,1999,11,13,,,M,-10,,,M,,M,,M,0,,0,,0,,,M,,,,
1999/11/14,1999,11,14,,-2,,-9,E,-5.5,E,23.5,E,0,E,0,,0,T,0,T,,M,,,,
1999/11/15,1999,11,15,,-4,,-11,,-7.5,,25.5,,0,,0,,10,,10,,12,,,,,
1999/11/16,1999,11,16,,-4,,-6,,-5,,23,,0,,0,,6,,6,,,M,,,,
1999/11/17,1999,11,17,,-3,,-7,,-5,,23,,0,,0,,0,,0,,,M,,,,
1999/11/18,1999,11,18,,-4,,-7,,-5.5,,23.5,,0,,0,,0,T,0,T,,M,,,,
1999/11/19,1999,11,19,,0,,-9,,-4.5,,22.5,,0,,0,,0,,0,,,M,,,,
1999/11/20,1999,11,20,,0,,-4,,-2,,20,,0,,0,,0,,0,,,M,,,,
1999/11/21,1999,11,21,,-3,,-14,,-8.5,,26.5,,0,,0,,1,,1,,,M,,,,
1999/11/22,1999,11,22,,-3,,-14,,-8.5,,26.5,,0,,0,,0,,0,,18,,,,,
1999/11/23,1999,11,23,,-1,,-11,,-6,,24,,0,,0,,0,T,0,T,,M,,,,
1999/11/24,1999,11,24,,-4,,-6,,-5,,23,,0,,0,,2,,2,,,M,,,,
1999/11/25,1999,11,25,,-6,,-13,,-9.5,,27.5,,0,,0,,0,T,0,T,,M,,,,
1999/11/26,1999,11,26,,-9,,-13,,-11,,29,,0,,0,,0,,0,,,M,,,,
1999/11/27,1999,11,27,,-13,,-16,,-14.5,,32.5,,0,,0,,0,,0,,,M,,,,
1999/11/28,1999,11,28,,-20,,-23,,-21.5,,39.5,,0,,0,,0,T,0,T,,M,,,,
1999/11/29,1999,11,29,,-17,,-27,,-22,,40,,0,,0,,0,T,0,T,18,,,,,
1999/11/30,1999,11,30,,-10,,-26,,-18,,36,,0,,0,,4,,4,,,M,,,,
1999/12/1,1999,12,1,,-8,,-20,,-14,,32,,0,,0,,1,,1,,,M,,,,
1999/12/2,1999,12,2,,0,,-15,,-7.5,,25.5,,0,,0,,0,,0,,,M,,,,
1999/12/3,1999,12,3,,,M,-8,,,M,,M,,M,,M,,M,,M,,M,,,,
1999/12/4,1999,12,4,,0,,,M,,M,,M,,M,0,,0,,0,,,M,,,,
1999/12/5,1999,12,5,,-5,,-15,,-10,,28,,0,,0,,3,,3,,,M,,,,
1999/12/6,1999,12,6,,-6,,-12,,-9,,27,,0,,0,,4,,4,,,M,,,,
1999/12/7,1999,12,7,,-13,,-16,,-14.5,,32.5,,0,,0,,0,,0,,,M,,,,
1999/12/8,1999,12,8,,-6,,-20,,-13,,31,,0,,0,,0,,0,,,M,,,,
1999/12/9,1999,12,9,,-5,,-18,,-11.5,,29.5,,0,,0,,0,,0,,,M,,,,
1999/12/10,1999,12,10,,-5,,-12,,-8.5,,26.5,,0,,0,,1,,1,,,M,,,,
1999/12/11,1999,12,11,,-8,,-18,,-13,,31,,0,,0,,0,,0,,,M,,,,
1999/12/12,1999,12,12,,-9,,-17,,-13,,31,,0,,0,,3,,3,,,M,,,,
1999/12/13,1999,12,13,,-12,,-19,,-15.5,,33.5,,0,,0,,0,T,0,T,26,,,,,
1999/12/14,1999,12,14,,-11,,-14,,-12.5,,30.5,,0,,0,,0,T,0,T,,M,,,,
1999/12/15,1999,12,15,,-12,,-17,,-14.5,,32.5,,0,,0,,0,T,0,T,,M,,,,
1999/12/16,1999,12,16,,-7,,-16,,-11.5,,29.5,,0,,0,,1,,1,,,M,,,,
1999/12/17,1999,12,17,,-13,,-16,,-14.5,,32.5,,0,,0,,0,,0,,,M,,,,
1999/12/18,1999,12,18,,-10,,-28,,-19,,37,,0,,0,,6,,6,,,M,,,,
1999/12/19,1999,12,19,,5,,-28,,-11.5,,29.5,,0,,0,,0,,0,,,M,,,,
1999/12/20,1999,12,20,,9,,-19,,-5,,23,,0,,0,,0,,0,,,M,,,,
1999/12/21,1999,12,21,,10,,1,,5.5,,12.5,,0,,0,,0,,0,,,M,,,,
1999/12/22,1999,12,22,,11,,-2,,4.5,,13.5,,0,,0,,0,,0,,,M,,,,
1999/12/23,1999,12,23,,14,,3,,8.5,,9.5,,0,,3,,0,,3,,,M,,,,
1999/12/24,1999,12,24,,6,,3,,4.5,,13.5,,0,,,M,,M,,M,,M,,,,
1999/12/25,1999,12,25,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1999/12/26,1999,12,26,,,M,,M,,M,,M,,M,,M,,M,,M,,M,,,,
1999/12/27,1999,12,27,,,M,,M,,M,,M,,M,0,,0,,0,,,M,,,,
1999/12/28,1999,12,28,,10,,3,,6.5,,11.5,,0,,0,,3,,3,,,M,,,,
1999/12/29,1999,12,29,,-2,,-4,,-3,,21,,0,,0,,0,,0,,,M,,,,
1999/12/30,1999,12,30,,-15,,-16,,-15.5,,33.5,,0,,0,,0,T,0,T,,M,,,,
1999/12/31,1999,12,31,,,M,-22,,,M,,M,,M,0,,0,,0,,,M,,,,
